M1(°C)	M2(°C)	V(km/h)	P(kPa)
-3.3	-7.5	48	1.0207
-5.5	-10.1	50	1.0202
-6.4	-17.2	48	1.0203
3.1	-13.1	52	2.0394
-13.2	-17.2	52	1.019
-13.4	-20.3	49	1.0181
-11.9	-16.2	47	2.0484
-13.6	-18.9	53	2.048
-10.9	-15.8	49	2.0478
-4.7	-12.7	49	2.047
-10.5	-17.7	52	2.0466
-6.9	-13.1	46	1.0234
-19.5	-23.4	55	1.0233
-14.1	-21.5	47	2.0464
-1.7	-6.2	55	2.0292
-13.7	-21.9	54	1.0129
-13.7	-24.9	52	2.0222
-2.6	-21.8	48	2.0196
-5	-13.9	52	1.009
-12.4	-23.3	53	1.0088
0.2	-17.2	53	1.0082
2.3	-5.1	45	1.0081
-13.7	-17.9	47	2.0162
-8.7	-19.4	55	1.0074
-6.9	-18.4	54	2.0136
0.3	-11	49	2.0118
0	-2.3	51	1.0051
-10.3	-14.1	49	2.0304
-13.9	-20.7	48	2.0344
-9.7	-17.6	51	1.0179
-6.1	-14.5	45	1.0189
-0.8	-16.3	45	1.0203
-3.1	-10	52	1.0218
-14.9	-22.8	47	2.0458
-12	-18.9	48	1.0234
-17.1	-23.1	46	1.0245
-10.3	-22.9	45	1.0249
-4.2	-14.1	54	1.0252
-10.1	-15.7	46	2.0506
-10.7	-21.8	54	1.0249
-11.9	-16.2	47	1.0242
-13.6	-18.9	53	2.048
-10.9	-15.8	49	2.0478
-4.7	-12.7	49	2.047
-10.5	-17.7	52	2.0466
-6.9	-13.1	46	2.0468
-19.5	-23.4	55	2.0466
-14.1	-21.5	47	2.0464
-13.6	-19.4	47	2.0464
-14.7	-23.5	49	2.0458
-13.1	-22.6	49	2.0448
-8.4	-21.5	47	1.0144
-6.8	-15.5	53	2.0286
-13.5	-18.5	52	1.0144
-5	-13.9	52	2.018
-12.4	-23.3	53	1.0088
0.2	-17.2	53	1.0082
2.3	-5.1	45	1.0081
-13.7	-17.9	47	1.0081
-8.7	-19.4	55	1.0074
-6.9	-18.4	54	2.0136
0.3	-11	49	1.0059
2.6	-5.9	50	1.0169
-8	-13.2	55	1.0164
-6.4	-18	47	2.0316
-2.4	-10.7	51	2.0306
0.2	-5.2	46	1.0154
2.7	-3.3	47	2.0318
9.2	-2.8	47	1.0163
10.4	4.3	55	2.033
-2.2	-6.7	46	2.0326
-0.1	-9.5	46	1.0167
0.3	-3.6	46	2.0302
-0.5	-3.3	53	1.0144
4.8	-10.8	50	2.0266
1.2	-3.5	42	1.0127
-5.3	-12.4	42	1.0119
-0.7	-13.7	38	2.0218
5.5	-7.4	39	1.0099
1.8	-1.2	41	2.0188
-8.2	-15.9	37	1.0085
-4.7	-16	35	1.0079
1.6	-11.4	36	2.0316
8.1	-6.3	41	1.016
6	2.5	44	2.0318
5.5	-1.8	45	2.0322
0.8	-9.3	36	2.0328
4	-8.3	35	1.0167
4.1	-0.4	36	1.0167
3.5	-4.4	35	1.017
2.7	-7.2	36	1.0167
11.7	-1.6	42	2.0334
14	1.8	41	2.032
2.6	-4.5	37	1.0151
1.6	-4.5	45	1.0144
4.6	-6.3	35	2.0266
7.6	-2.4	32	1.0127
6.8	-3.5	28	2.0238
7.9	-0.2	30	1.0109
12.7	3.1	27	2.0198
9.4	2.2	32	2.0188
17.6	2.5	30	2.017
23.5	5	28	1.0079
16.8	6.4	26	2.0152
14.7	3.1	29	2.0128
17.7	0.2	27	2.011
20.7	12	26	2.0198
9.1	3.5	25	1.0101
13.6	0.7	34	2.021
10.8	4.9	30	1.0106
13.1	6.5	30	2.0246
10.3	5.1	29	2.0244
6.9	2.2	34	1.0122
4.2	0.9	33	1.0118
11.5	0.9	31	1.0117
13.2	3.6	18	1.0113
15.3	5.4	23	1.0109
20.4	4.8	23	1.0105
17.5	6.8	22	1.0102
16.8	6.1	21	2.02
20.5	7.6	24	1.0098
24.7	8.8	20	2.0192
26.2	13	25	2.0192
28.5	15.4	23	2.0188
21.3	10.3	18	2.0198
25.4	8.1	24	1.0101
28.4	12.5	23	1.0105
31.1	12.9	15	1.0106
29.4	12.6	20	2.0302
25	14.2	20	1.0144
9.8	7.8	17	1.0133
22.1	7.8	19	2.0254
18.7	6.9	16	1.0119
19.2	6.1	23	2.0218
23	8.7	23	1.0099
21.8	15.5	24	1.0094
26.8	14.9	25	1.0085
30	11.5	19	1.0079
27.9	17.8	23	1.0094
16.1	7.2	8	2.0206
20.8	8.5	14	2.0226
13.1	6.5	13	1.0122
16.6	1.8	9	1.0122
27.6	12.4	7	2.0236
21.7	16	10	1.0117
29.4	15.5	6	1.0113
28.2	20.5	11	1.0109
23.1	18.3	14	1.0105
25.8	11.1	11	1.0102
30.7	18.3	5	2.0292
15.1	8.5	6	1.0158
15.5	10.9	12	2.0234
13.4	8.4	6	1.0118
20.1	4.7	12	2.0234
27.1	8.3	13	1.012
25.1	15.2	8	1.0123
21.9	9.1	8	2.0244
23.6	8.1	10	1.0122
22.1	14.7	14	1.0118
24.1	16.8	5	1.0117
25.2	15.9	8	2.0226
23.2	16.7	7	2.0218
22.3	17.4	14	1.0105
27.6	13.4	15	2.0204
24.7	14.3	15	1.01
23	15.8	11	1.0098
23.7	17.7	6	2.0192
23.5	11.2	14	1.0096
27.9	14.7	8	1.0094
23	11.8	15	2.0198
26	10.4	12	2.0202
24.7	18.2	11	1.0105
28	17.1	14	2.0212
27.4	19.6	6	2.0212
24.8	13.1	14	1.0118
24.3	12.3	12	1.0119
25.2	13.2	12	2.0234
25.1	13.5	7	1.0118
15.1	13.8	13	1.0117
20.4	12.3	7	2.024
27.5	15.1	7	2.0246
21.4	17.3	9	1.0122
23.7	13.8	12	2.0244
25.1	13.8	11	2.0236
26.8	15.2	6	1.0117
27.6	17.3	9	1.0113
29.4	17.7	9	1.0109
31.1	20.7	11	2.021
25.5	15.5	6	1.0102
24.9	15.2	14	2.02
29.9	16.2	6	1.0098
29.7	18.8	13	1.0096
31.6	20.9	9	2.0192
32	18.9	8	2.0188
30.2	23	10	1.0099
24.3	13.3	15	2.0202
25.7	10.9	7	2.021
26.6	14.3	11	2.0212
25	17	5	2.0278
29.4	20.2	5	1.0139
28	19.7	15	1.0143
24.9	18.1	11	2.029
23.1	14.6	14	2.0292
25.3	16.2	10	2.029
25.4	16.7	14	1.0145
28.2	14.9	15	2.0284
28.7	19.2	7	1.0139
31.1	20.2	9	1.0134
31.7	18.9	8	2.026
33.6	22.6	15	2.025
29.6	22.6	7	1.0116
27.4	19.9	14	2.023
25.7	16.6	8	1.011
27.6	16.4	13	2.021
25.8	18.8	11	1.0101
25.8	18	14	2.0196
24.1	16.8	15	1.0093
23.2	15.1	9	1.009
23.1	13.1	15	2.0182
26.2	12.8	9	1.0088
26.5	15.4	15	2.0164
28.5	15.5	14	1.0077
21.3	17.3	7	1.0099
24.5	18.1	10	2.0202
23.5	15.6	6	1.0105
25.3	15.5	15	1.0106
29.3	20.1	5	2.0244
30.3	20.3	6	2.0236
31.7	21.8	12	2.0234
32.9	22.6	5	1.0113
33.2	21.2	7	1.0109
31.5	24.5	14	2.021
26.6	18.1	9	2.0204
27.4	16.7	15	2.02
29.8	16.3	9	2.0196
29.7	17.7	10	2.0192
27.5	16.1	7	1.0096
24.8	16.7	8	2.061
24.5	16.8	9	1.0297
23.1	13.8	6	1.0293
24.6	15.6	11	1.03
26.4	18.3	6	1.0302
26.1	18.8	6	1.0297
28.4	14.4	12	2.0604
26.7	20	15	1.0296
29.3	20.7	6	2.0578
25.7	13.5	7	1.0122
29.9	12.5	6	2.0236
31.8	17.6	14	1.0117
32.1	22.5	18	1.0113
29.1	21	14	2.0218
28.5	23.5	19	2.021
25.6	16.8	15	1.0102
27.1	14.4	17	2.02
17.2	16.1	11	1.0098
20.4	14.4	13	2.0192
22.4	14.4	15	1.0096
26.7	14.7	11	1.0088
29	17	17	1.0082
28.9	18.4	11	2.0154
29.3	18.6	15	2.0198
29.2	20.3	20	2.0202
20.1	11.9	15	1.0105
23	8.6	19	2.0212
24.5	10.5	19	1.0099
24.8	11.5	15	2.018
20.3	11.7	18	2.0182
16.3	9.6	20	1.0094
19.2	5.7	22	2.0142
24.1	5.5	25	1.007
21.7	14	25	1.0061
24.8	15.2	20	1.0067
12.6	9.8	18	1.0057
14.6	4.2	19	2.0112
13.2	3.8	22	2.009
13.1	4	18	1.0035
16.7	3.8	24	2.0638
16.4	4.4	15	2.0632
15	11.4	16	2.0638
18.8	10.9	17	2.0634
13.9	4.3	15	1.0316
7.9	5.2	25	2.0616
12	2.7	24	2.0614
18.1	7.8	37	1.0305
24.8	13.3	35	1.0297
18.7	13.7	35	1.0293
12.2	8.5	42	2.06
14	3.4	39	1.0302
11.7	6.6	37	1.0297
7.9	1.2	43	2.0604
4.6	-2.7	43	2.0592
12.3	-3.8	42	2.0578
18	6.3	40	1.009
10.3	-0.2	36	2.0182
17.3	3.5	44	1.0094
9.4	2.6	43	2.0142
12.6	-0.8	44	1.007
12.8	7.3	38	2.0122
8.8	0.7	35	2.0134
11.9	-1.8	39	2.0114
8.8	0.2	37	1.0056
15	6	36	1.0045
8.6	4	40	2.007
9.3	-1.7	43	2.0064
14	5.8	43	1.0018
12.4	7.8	41	2.004
16.1	5.6	42	2.0028
14	2.9	44	2.0026
17.4	3.5	37	2.001
20.2	8.7	41	2.0008
11.3	6.8	42	2.0004
7.8	-0.2	40	2.0002
12.7	4.5	35	0.9996
12.7	0.9	38	0.9996
10.3	3.9	39	1.0079
11.1	5.7	41	2.015
9.8	6.7	37	1.0073
5	-0.2	42	2.0156
7.1	0.2	42	1.0086
8.2	2.5	41	1.0094
6.2	-3.8	37	1.0103
11.4	-3.3	45	1.0113
14.4	5.4	45	2.025
9.3	5.8	36	1.0132
6.8	-0.4	45	1.0133
7.9	2.6	38	1.0136
1.6	-4.6	35	2.0266
-2.7	-5.7	35	1.0139
5.3	-6.8	39	1.0134
11.2	-1.9	35	1.0139
13.9	8.8	36	2.0292
0.3	-2	40	2.0316
0.2	-5.2	37	1.0166
-2.8	-9.7	38	1.0173
1.2	-7.3	39	2.0356
3.4	-0.1	38	1.0182
11.3	6.8	42	2.0004
7.8	-0.2	40	2.0002
12.7	4.5	35	1.9992
12.7	0.9	38	0.9996
10.3	3.9	39	2.0158
11.1	5.7	41	1.0075
9.8	6.7	37	1.0073
5	-0.2	42	2.0156
7.1	0.2	42	2.0172
8.2	2.5	41	1.0094
6.2	-3.8	37	2.0206
11.4	-3.3	45	2.0226
14.4	5.4	45	2.025
11.3	6.8	42	2.0004
7.8	-0.2	40	1.0001
12.7	4.5	35	0.9996
12.7	0.9	38	1.9992
10.3	3.9	39	2.0158
11.1	5.7	41	2.015
9.8	6.7	37	1.0073
11.3	6.8	42	2.0004
16.1	5.6	42	2.0028
14	2.9	44	2.0026
17.4	3.5	37	1.0005
20.2	8.7	41	1.0004
11.3	6.8	42	2.0004
7.8	-0.2	40	1.0001
12.7	4.5	35	1.9992
12.7	0.9	38	0.9996
12.7	0.9	38	0.9996
