Tmoyenne(°C)	Tcalculé(°C)
-5.4		-15.34
-7.8		-18.77
-11.8		-24.03
-5.0		-15.11
-15.2		-29.06
-16.85		-31.0
-14.05		-26.98
-16.25		-30.6
-13.35		-26.24
-8.7		-19.91
-14.1		-27.56
-10.0		-21.39
-21.45		-37.95
-17.8		-32.06
-3.95		-13.9
-17.8		-32.83
-19.3		-34.67
-12.2		-24.57
-9.45		-21.2
-17.85		-32.79
-8.5		-19.98
-1.4		-9.68
-15.8		-29.35
-14.05		-27.78
-12.65		-25.76
-5.35		-15.35
-1.15		-9.78
-12.2		-24.67
-17.3		-31.5
-13.65		-26.85
-10.3		-21.7
-8.55		-19.33
-6.55		-17.23
-18.85		-33.49
-15.45		-28.99
-20.1		-35.06
-16.6		-30.21
-9.15		-20.96
-12.9		-25.32
-16.25		-30.7
-14.05		-26.98
-16.25		-30.6
-13.35		-26.24
-8.7		-19.91
-14.1		-27.56
-10.0		-21.39
-21.45		-37.95
-17.8		-32.06
-16.5		-30.3
-19.1		-34.06
-17.85		-32.36
-14.95		-28.2
-11.15		-23.61
-16.0		-30.16
-9.45		-21.2
-17.85		-32.79
-8.5		-19.98
-1.4		-9.68
-15.8		-29.35
-14.05		-27.78
-12.65		-25.76
-5.35		-15.35
-1.65		-10.39
-10.6		-23.04
-12.2		-24.47
-6.55		-17.15
-2.5		-11.24
-0.3		-8.34
3.2		-3.59
7.35		1.63
-4.45		-13.88
-4.8		-14.35
-1.65		-10.09
-1.9		-10.94
-3.0		-12.23
-1.15		-9.1
-8.85		-19.44
-7.2		-16.81
-0.95		-8.58
0.3		-7.08
-12.05		-23.14
-10.35		-20.64
-4.9		-13.55
0.9		-6.27
4.25		-1.98
1.85		-5.29
-4.25		-12.68
-2.15		-9.8
1.85		-4.6
-0.45		-7.56
-2.25		-10.03
5.05		-0.78
7.9		3.11
-0.95		-8.4
-1.45		-9.74
-0.85		-8.09
2.6		-3.27
1.65		-4.12
3.85		-1.45
7.9		4.07
5.8		0.93
10.05		6.64
14.25		12.23
11.6		8.93
8.9		5.21
8.95		5.43
16.35		16.35
6.3		2.19
7.15		2.56
7.85		3.77
9.8		6.31
7.7		3.65
4.55		-0.87
2.55		-3.42
6.2		1.54
8.4		5.57
10.35		7.55
12.6		10.42
12.15		9.93
11.45		9.12
14.05		12.21
16.75		16.75
19.6		19.6
21.95		27.61
15.8		15.8
16.75		16.75
20.45		20.51
22.0		22.06
21.0		26.72
19.6		19.6
8.8		6.19
14.95		13.69
12.8		11.27
12.65		10.49
15.85		15.85
18.65		18.65
20.85		20.9
20.75		20.79
22.85		22.9
11.65		10.94
14.65		13.74
9.8		7.93
9.2		7.86
20.0		20.0
18.85		18.85
22.45		22.51
24.35		24.41
20.7		20.76
18.45		18.45
24.5		30.22
11.8		11.54
13.2		12.19
10.9		10.51
12.4		11.22
17.7		17.7
20.15		20.22
15.5		15.5
15.85		15.85
18.4		18.4
20.45		20.52
20.55		26.23
19.95		19.95
19.85		19.85
20.5		26.17
19.5		19.5
19.4		19.4
20.7		26.36
17.35		17.35
21.3		21.35
17.4		17.4
18.2		18.2
21.45		21.51
22.55		28.22
23.5		29.17
18.95		18.95
18.3		18.3
19.2		19.2
19.3		19.3
14.45		13.6
16.35		16.35
21.3		26.99
19.35		19.35
18.75		18.75
19.45		19.45
21.0		21.07
22.45		22.51
23.55		23.61
25.9		31.57
20.5		20.56
20.05		25.72
23.05		23.1
24.25		24.3
26.25		31.91
25.45		31.11
26.6		26.66
18.8		18.8
18.3		18.3
20.45		26.12
21.0		26.71
24.8		24.88
23.85		23.93
21.5		27.22
18.85		18.85
20.75		26.47
21.05		21.13
21.55		27.26
23.95		24.03
25.65		25.72
25.3		31.0
28.1		33.79
26.1		26.16
23.65		29.33
21.15		21.21
22.0		27.67
22.3		22.36
21.9		27.56
20.45		20.5
19.15		19.15
18.1		18.1
19.5		19.5
20.95		26.6
22.0		22.04
19.3		19.3
21.3		26.97
19.55		19.55
20.4		20.46
24.7		30.39
25.3		30.99
26.75		32.44
27.75		27.81
27.2		27.26
28.0		33.67
22.35		28.02
22.05		27.72
23.05		28.71
23.7		29.36
21.8		21.85
20.75		26.64
20.65		20.82
18.45		18.45
20.1		20.27
22.35		22.52
22.45		22.62
21.4		27.29
23.35		23.51
25.0		30.88
19.6		19.6
21.2		26.89
24.7		24.77
27.3		27.36
25.05		30.73
26.0		31.67
21.2		21.26
20.75		26.42
16.65		16.65
17.4		17.4
18.4		18.4
20.7		20.75
23.0		23.05
23.65		29.29
23.95		29.62
24.75		30.42
16.0		16.0
15.8		15.8
17.5		17.5
18.15		18.15
16.0		16.0
12.95		11.1
12.45		10.31
14.8		13.11
17.85		17.85
20.0		20.0
11.2		9.08
9.4		6.72
8.5		5.28
8.55		5.76
10.25		7.34
10.4		8.41
13.2		11.76
14.85		13.72
9.1		6.8
6.55		2.51
7.35		3.63
12.95		10.06
19.05		19.05
16.2		16.2
10.35		6.34
8.7		4.29
9.15		5.01
4.55		-1.51
0.95		-6.36
4.25		-1.85
12.15		8.85
5.05		-0.36
10.4		6.31
6.0		0.44
5.9		0.24
10.05		6.15
4.75		-0.68
5.05		-0.58
4.5		-1.17
10.5		6.86
6.3		1.03
3.8		-2.52
9.9		5.68
10.1		6.05
10.85		7.01
8.45		3.68
10.45		6.74
14.45		11.88
9.05		4.59
3.8		-2.32
8.6		4.41
6.8		1.82
7.1		2.16
8.4		3.78
8.25		3.82
2.4		-4.33
3.65		-2.66
5.35		-0.31
1.2		-5.55
4.05		-2.32
9.9		5.58
7.55		2.95
3.2		-3.46
5.25		-0.24
-1.5		-8.94
-4.2		-12.51
-0.75		-8.31
4.65		-0.82
11.35		7.99
-0.85		-8.53
-2.5		-10.46
-6.25		-15.55
-3.05		-11.38
1.65		-5.03
9.05		4.59
3.8		-2.32
8.6		4.41
6.8		1.82
7.1		2.16
8.4		3.78
8.25		3.82
2.4		-4.33
3.65		-2.66
5.35		-0.31
1.2		-5.55
4.05		-2.32
9.9		5.58
9.05		4.59
3.8		-2.32
8.6		4.41
6.8		1.82
7.1		2.16
8.4		3.78
8.25		3.82
9.05		4.59
10.85		7.01
8.45		3.68
10.45		6.74
14.45		11.88
9.05		4.59
3.8		-2.32
8.6		4.41
6.8		1.82
6.8		1.82
